departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,numero_casos,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
SOLOLA,7,SANTIAGO ATITLAN,719,44025,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAN GABRIEL,1012,7945,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,CHINIQUE,1403,13294,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,NUEVA SANTA ROSA,614,38981,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,SANTA CRUZ NARANJO,612,17569,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,EL PALMAR,919,30973,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,NUEVO PROGRESO,1212,31500,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,CHICHICASTENANGO,1406,148943,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,CHIQUIMULILLA,608,63897,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,SAN FELIPE,1105,26191,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,SAN MARCOS,1201,48644,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
BAJA VERAPAZ,15,RABINAL,1503,45937,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,SAN PEDRO AYAMPUC,107,65594,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,CUILCO,1304,65178,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,LA DEMOCRACIA,503,25479,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,SANTA CATARINA PINULA,102,86150,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,CHIMALTENANGO,401,112778,2021-01-01,1,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,NUEVA CONCEPCION,513,80234,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,SIPACATE,514,17465,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,SANTA MARIA IXHUATAN,610,26560,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,CAHABON,1612,69107,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SOLOLA,7,SOLOLA,701,98886,2021-01-01,1,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,CONCEPCION CHIQUIRICHAPA,911,20245,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,SAN JUAN ATITAN,1316,25165,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JUTIAPA,22,JUTIAPA,2201,163665,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,CHUARRANCHO,112,17957,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,SAN JOSE PINULA,103,87912,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,MAGDALENA MILPAS ALTAS,310,12674,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,OCOS,1218,12573,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,SAN PEDRO SACATEPEQUEZ,1202,84350,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JUTIAPA,22,YUPILTEPEQUE,2206,17833,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,COATEPEQUE,920,117579,2021-01-01,1,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,DOLORES,1708,29659,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,SANSARE,206,13535,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
